regime,type_idx,type_label,depth,xi_bin,mu,alpha,beta,branching_ratio,n_events,log_lik,converged,fallback
R1,3,buy_cancel,3,2,0.01686086951695976,0.6006647308619147,72.72939940221258,0.008258898544453556,988,-686.921211525005,True,False
R1,3,buy_cancel,3,3,0.004133256426641114,0.6977554709477092,131.32201463626487,0.005313316833284573,320,82.2553844997667,True,False
R1,3,buy_cancel,3,4,0.001,0.8332371496510912,277.5861542259159,0.003001724462715651,90,208.42811804431267,True,False
R1,3,buy_cancel,3,5,0.001,0.0,1.0,0.0,1,-30.30768868175014,False,True
R1,3,buy_cancel,4,0,0.1428002451013116,0.21209226342651458,28.22087959211119,0.007515437735888376,4241,-9661.203168133474,True,False
R1,3,buy_cancel,4,1,0.017456270337059196,0.4568141649233254,26.391457612821636,0.01730916767179216,752,-1806.512096657258,True,False
R1,3,buy_cancel,4,2,0.0042285535565773245,0.5522712466780536,113.05014310124525,0.004885188390990814,221,-339.82672245615754,True,False
R1,3,buy_cancel,4,3,0.0016239398522178733,0.7076725873303447,3991.4404661999592,0.00017729754291038758,130,322.4384584456165,True,False
R1,3,buy_cancel,4,4,0.001,0.8703498989929337,3388.690033826797,0.0002568396313338994,162,830.053106967752,True,False
R1,3,buy_cancel,4,5,0.001,0.8686736920577003,4462.029720884293,0.0001946812877538487,99,519.4656306523536,True,False
R1,3,buy_cancel,5,0,0.20952479625599965,0.1408961548646515,1008.5904976205255,0.00013969609588535169,5707,-10106.747161642268,True,False
R1,3,buy_cancel,5,1,0.03769556300028374,0.4334784245393277,47.22498834928726,0.009179005431048878,1557,-2931.0611810690843,True,False
R1,3,buy_cancel,5,2,0.009138975615610268,0.5478828736102934,81.96157918060219,0.006684630519417331,473,-652.2378995252986,True,False
R1,3,buy_cancel,5,3,0.0014567295277182325,0.6983403584108839,208.1347517782582,0.00335523189877911,113,23.901020476536246,True,False
R1,3,buy_cancel,5,4,0.001,0.799952729307076,248.46390146094905,0.003219593367903402,10,11.086630968701401,True,False
R1,3,buy_cancel,5,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,3,buy_cancel,6,0,0.05387188123660141,0.22946161432681295,205.31498173292354,0.0011176077478130635,1636,-4221.815886921275,True,False
R1,3,buy_cancel,6,1,0.011026863112087445,0.4227564356805636,43.018453690096464,0.00982732756333101,447,-1213.8355470708425,True,False
R1,3,buy_cancel,6,2,0.0024038240987205,0.5233105193143072,65.30428399443414,0.008013417915414382,118,-279.5291157278343,True,False
R1,3,buy_cancel,6,3,0.001,0.0,1.0,0.0,8,-78.6619756276251,False,True
R1,3,buy_cancel,6,4,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,3,buy_cancel,6,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
